,매장이름,주소,전화번호
0,삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층",02-3443-5618
1,코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103
2,삼성오크우드점,서울 강남구 영동대로 513 컨벤션별관A동 지하 2층,02-3466-8507
3,삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523
4,도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330
5,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-6002-6470
6,도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456
7,CBTL(커피빈)파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008
8,삼성로점,"서울시 강남구 삼성로 551 1층,2층",02-552-9311
9,삼성루첸타워점,서울 강남구 대치동 943-2 루첸타워 1층 로비,02-994-8879
10,제주애월DT점 ,제주도 제주시 애월읍 애월해안로 560,064-799-3670
11,하나금융명동사옥점 ,서울시 중구 을지로 66 하나은행 명동사옥 1층,02-539-5174
12,진주LH본사점 ,경남 진주시 충의로 19 LH진주사옥 공감동 1층,055-763-3520
13,이천하이닉스 행복마을점 ,"경기도 이천시 대산로288번길 89, 행복1마을 복지A동 지하1층",031-638-7018
14,용산아이파크몰점 ,"서울시 용산구 한강대로 23길 55, 아이파크몰 테이스트파크 7층",02-2012-0731
15,상암SBS프리즘타워점 ,서울 마포구 상암산로 82 SBS 프리즘 타워 1층 로비,02-562-9605
16,안양LS타워점 ,경기도 안양시 동안구 엘에스로 127 1층,031-429-9650
17,명동거리점 ,서울시 중구 명동 10길 52 명동역 신한은행 사옥 1층,02-522-7158
18,용인에버랜드점 ,경기도 용인시 처인구 포곡읍 가실리 156-1 (파크내 홀랜드빌리지 옆 암스테르담),031-334-0556
19,혜화역점 ,서울시 종로구 대명길 5,02-745-9471
20,제주아라점 ,제주도 제주시 연북로 511,064-758-1194
21,천안신부동점 ,충남 천안시 동남구 만남로 48,041-566-0718
22,부산중앙역점 ,부산광역시 중구 중앙대로 102 팬오션빌딩 1F,051-466-8856
23,용인역북점 ,경기도 용인시 처인구 역북동 598-7,031-323-6886
24,부산화명수정역점 ,"부산광역시 북구 학사로 8  (화명동 2312), 크리스탈타워 2층 201~202호",051-361-3370
25,일산동구청점 ,경기도 고양시 일산동구 정발산로 38,031-903-3989
26,서초중앙로점 ,"서울시 서초구 서초중앙로 209, 해성빌딩 1층",02-537-2992
27,청계천을지로점 ,서울 중구 남대문로10길 33 1F,02-723-1771
28,송파헬리오시티점 ,서울시 송파구 송파대로 345 ( 헬리오시티상가 3블럭 A동 B1층 22호 ),02-777-3363
29,수서역원방빌딩점 ,서울 강남구 광평로 51길 6-23 원방테크사옥 1층,02-3473-3830
30,KB국민은행노원역점 ,"서울시 노원구 동일로 1405, 1층 일부",02-930-9486
31,광주봉선점 ,광주광역시 남구 봉선로 168,062-671-3371
32,이태원몬드리안호텔점 ,서울시 용산구 장문로 23 몬드리안 서울 이태원호텔 101호,02-3775-0548
33,창원상남동점 ,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,055-211-0737
